AST_NR,BETREIBER,ANLNAME,STRASSE,PLZ,patch_exist
1105609,Vattenfall Europe Wärme HKW Reuter-West,Heizkraftwerk Reuter-West,Großer Spreering 5,13599,1
1105503,Vattenfall Europe Wärme HKW Mitte,Heizkraftwerk Mitte,Köpenicker Str. 60,10179,1
1105607,Vattenfall Europe Wärme HKW Lichterfelde,Heizkraftwerk Lichterfelde,Ostpreussendamm 61,12207,1
1105501,Vattenfall Europe Wärme  HKW Klingenberg,Heizkraftwerk Klingenberg,Köpenicker Chaussee 42-45,10317,1
1105602,Vattenfall Europe Wärme HKW Reuter,Heizkraftwerk Reuter,Otternbuchtstr. 11,13599,1
1105604,Vattenfall Europe Wärme HKW Moabit,Heizkraftwerk Moabit,Friedrich-Krause-Ufer 10-15,13353,1
1750001,RWE  innogy SE Energiedienstleistungen  GmbH Holzheizkraftwerk Neukölln,Holzheizkraftwerk (HHKW) Berlin-Neukölln,Köpenicker Str. 32,12355,1
1150102,BTB GmbH Berlin HKW Adlershof,Blockheizkraftwerk Adlershof,Albert-Einstein-Str. 22,12489,1
1105514,Vattenfall Europe Wärme BHKW Köpenick,Blockheizkraftwerk Köpenick,Wendenschloßstr. 176-182,12557,1
1150101,BTB Heizkraftwerk Schöneweide,BTB HKW Schöneweide,Schnellerstr. 138,12439,1
1502601,FHW Neukölln AG,Fernheizwerk Neukölln,Weigandufer 49,12059,1
1502302,Vattenfall Europe Wärme  BHKW Lange Enden,Spitzenheizwerk Lange Enden,Lange Enden 15-25,13437,1
1502301,Vattenfall Europe Wärme HKW Wallenroder Str.,FHW Märkisches Viertel GmbH Standort Walllenroder Strasse,Wallenroder Str. 2,13435,1
1105504,Vattenfall Europe Wärme HKW Buch,Heizkraftwerk Buch,Schwanebecker Chaussee 17,13125,1
1105505,Vattenfall Europe Wärme BHKW Friedrichshagen,Heizwerk Friedrichshagen,Stillerzeile 10/12,12587,1
1103307,GASAG Contracting GmbH  BHKW Hugenottenplatz1,GASAG BHKW Hugenottenplatz,Hugenottenplatz 1,13127,0
1056001,Messe Berlin GmbH,Heizwerk Betriebszentrale K 2-6,Messedamm 22,14055,0
1103310,GASAG Contracting GmbH BHKW Waldsassener Str.,Verbrennungsmotorenanlage,Waldsassener Str. 40a,12279,0
1033301,afu GmbH,afu Hochdruck-Bodenwaschanlage,Am Vorwerk 11,13127,0
1100701,BMW MOTORRAD SPANDAU,BMW Werk 3 Berlin Energiezentrale,Am Juliusturm 14-38,13599,0
1102101,Berliner Wasserbetriebe Klärwerk Ruhleben,Klärschlammverbrennungsanlage Ruhleben,Freiheit 17,13597,0
1102104,BWB Pumpwerk Berlin VII Genthiner Str.,Verbrennungsmotorenanlage. Dieselkreisel IV,Genthiner Str. 10,10785,0
1102105,BWB Pumpwerk Berlin VIII Alt-Moabit,Verbrennungsmotorenanlage. Dieselkreisel III und IV,Alt-Moabit 70,10555,0
1102106,BWB Hauptpumpwerk Britz Späthstr.,Verbrennungsmotorenanlage. Dieselkreisel III und IV,Späthstr. 29,12359,0
1102108,BWB Hauptpumpwerk Charlottenburg I Sophie-Charlotten-Str,Verbrennungsmotorenanlage. Dieselkreisel I und II,Sophie-Charlotten-Str. 114,14059,0
1102116,BWB Hauptpumpwerk Wilmersdorf Hohenzollerndamm 208,Verbrennungsmotorenanlage. Dieselkreisel IV und V,Hohenzollerndamm 208,10717,0
